steps_MD_LSTM overall_loss_MD_LSTM time_MD_LSTM relevant_loss_MD_LSTM
0000 0.24492839 0.7478148937225342 0.1982293610987767
0001 0.11369451 0.06525993347167969 0.4093332954068995
0002 0.08006727 0.06498885154724121 0.5058314370636465
0003 0.06533909 0.06403779983520508 0.5740046153598379
0004 0.0558106 0.06518793106079102 0.6141264361579866
0005 0.049886983 0.06496262550354004 0.6532773903780447
0006 0.0444355 0.06593990325927734 0.6836362099838689
0007 0.041533586 0.06383013725280762 0.7187649391371922
0008 0.039179984 0.06627297401428223 0.7427241978921335
0009 0.037311308 0.06420707702636719 0.768492595022398
0010 0.03648377 0.06388306617736816 0.7762760990515265
0011 0.03497373 0.0675349235534668 0.7732017334332886
0012 0.033909686 0.06693601608276367 0.7867994603995911
0013 0.033516973 0.0668938159942627 0.8035717827361665
0014 0.03292703 0.06831097602844238 0.8092649281862478
0015 0.030946126 0.06518721580505371 0.8169326025716511
0016 0.031924 0.06519818305969238 0.8222035062875708
0017 0.0308168 0.06522178649902344 0.8346114038962769
0018 0.03154654 0.06458401679992676 0.8362648364781811
0019 0.03100736 0.0868377685546875 0.8442167887761209
0020 0.030852076 0.0896768569946289 0.8490088453112712
0021 0.030333426 0.06461024284362793 0.854973731083843
0022 0.030361356 0.06439781188964844 0.8600199821882744
0023 0.029747717 0.06708097457885742 0.864286528354878
0024 0.030412307 0.0652608871459961 0.8675320452259743
0025 0.029573431 0.0657510757446289 0.8675851800226064
0026 0.0302605 0.0654599666595459 0.8734688112655744
0027 0.029642675 0.06491899490356445 0.8717507810024985
0028 0.029421004 0.06375885009765625 0.8771337185943386
0029 0.0297351 0.06405019760131836 0.8790719626036128
0030 0.0292309 0.06424927711486816 0.8814137130210676
0031 0.029799817 0.06375885009765625 0.8786395772783898
0032 0.029647596 0.0650949478149414 0.8812046727087022
0033 0.0295749 0.08528995513916016 0.8815248670894383
0034 0.029897586 0.06716418266296387 0.8833354516914227
0035 0.028874809 0.07294702529907227 0.8786298753010661
0036 0.029401083 0.07699799537658691 0.8758281692668711
0037 0.029188916 0.07445096969604492 0.8751925994895902
0038 0.029420126 0.0814201831817627 0.8761924272467496
0039 0.029277379 0.07209491729736328 0.8791179965882063
0040 0.029316355 0.07305598258972168 0.8770119244167255
0041 0.029420182 0.07585930824279785 0.8747723575400415
0042 0.02943873 0.0739278793334961 0.8737895196360671
0043 0.02918459 0.07755494117736816 0.8674994351928245
0044 0.02917278 0.07760000228881836 0.868612975763065
0045 0.028948288 0.07301497459411621 0.8676053499203863
0046 0.029153341 0.07767391204833984 0.8653141283306411
0047 0.029071387 0.07365822792053223 0.8638901957768075
0048 0.028887771 0.0762948989868164 0.8633401675704813
