steps_SNAKE_SD_LSTM overall_loss_SNAKE_SD_LSTM time_SNAKE_SD_LSTM relevant_loss_SNAKE_SD_LSTM
0000 0.20431629 0.1272599697113037 0.25014039065014787
0001 0.1936512 0.015352010726928711 0.26652705342392025
0002 0.17624283 0.01650714874267578 0.28896784719535545
0003 0.15726066 0.015850067138671875 0.3235128242621471
0004 0.12714788 0.016709089279174805 0.38862275310513866
0005 0.0920763 0.017173051834106445 0.48772413263898473
0006 0.06801739 0.0170900821685791 0.6198489209283462
0007 0.052381694 0.01648426055908203 0.7236172797652584
0008 0.044875704 0.01910996437072754 0.7988482998740223
0009 0.04089448 0.02287006378173828 0.849070983411216
0010 0.03919001 0.01775217056274414 0.8811205709306429
0011 0.038502812 0.020273208618164062 0.9023450500557519
0012 0.03760696 0.02502584457397461 0.9162447198649646
0013 0.037026014 0.023331165313720703 0.9262388979130128
0014 0.036964085 0.02117300033569336 0.9333455489335617
0015 0.036657747 0.022240877151489258 0.9384773093114296
0016 0.036325954 0.0198976993560791 0.9420163407412292
0017 0.03612673 0.017731189727783203 0.9446298322966519
0018 0.03598345 0.017387866973876953 0.9462352309314657
0019 0.035884432 0.015506982803344727 0.9472990814075395
0020 0.035516 0.014035224914550781 0.947707984581537
0021 0.035650134 0.01708197593688965 0.947596985894879
0022 0.035181154 0.016066789627075195 0.9469898684619433
0023 0.034971558 0.01578974723815918 0.9459878398278708
0024 0.03473574 0.018461227416992188 0.9445589666621123
0025 0.034871247 0.016067028045654297 0.9428326476009768
0026 0.03457819 0.01578688621520996 0.9407571939805641
0027 0.034183156 0.017343997955322266 0.9381845438887758
0028 0.03412295 0.017759084701538086 0.93523832626412
0029 0.034138158 0.01738882064819336 0.9321896443148838
0030 0.033766285 0.017325878143310547 0.9283909644635229
0031 0.033294283 0.018991947174072266 0.9244766809692971
0032 0.03332682 0.018059968948364258 0.9200564993749603
0033 0.03320636 0.016629934310913086 0.915507053862219
0034 0.032820746 0.01824188232421875 0.9103823189407437
0035 0.032878384 0.0181429386138916 0.9052612071818088
0036 0.032510683 0.017386198043823242 0.8997904548317706
0037 0.032379955 0.016157865524291992 0.8942726485164201
0038 0.03218589 0.018991708755493164 0.8883946481938346
