steps_HORIZONTAL_SD_LSTM overall_loss_HORIZONTAL_SD_LSTM time_HORIZONTAL_SD_LSTM relevant_loss_HORIZONTAL_SD_LSTM
0000 0.19921911 0.11474728584289551 0.2534082040974048
0001 0.18925178 0.004488229751586914 0.26900125143844733
0002 0.17646053 0.002721071243286133 0.2852932000335859
0003 0.16319916 0.0027451515197753906 0.31101570466387995
0004 0.14868134 0.002891063690185547 0.3362361713033714
0005 0.13134192 0.0031118392944335938 0.3613336626907548
0006 0.11651701 0.002902984619140625 0.43579135842853084
0007 0.098357484 0.0028929710388183594 0.4571256138150545
0008 0.0811672 0.0031108856201171875 0.45236578616999357
0009 0.071983606 0.0032372474670410156 0.5512274019723333
0010 0.06462401 0.0031728744506835938 0.6274200876090908
0011 0.05721963 0.0035829544067382812 0.6145898053104314
0012 0.053943742 0.0037279129028320312 0.6710905154004343
0013 0.05413095 0.0035941600799560547 0.7645731984003308
0014 0.047608055 0.003703594207763672 0.694361463385007
0015 0.050139584 0.0035538673400878906 0.8018395369011759
0016 0.048492372 0.004003763198852539 0.8240083486888639
0017 0.048527025 0.003874063491821289 0.8751049246235165
0018 0.047630273 0.005222320556640625 0.8916541782332844
0019 0.044566017 0.005071163177490234 0.838994357567827
0020 0.045053244 0.003345012664794922 0.8912290908269676
0021 0.044019755 0.003729104995727539 0.8967056130644648
0022 0.042942643 0.004739999771118164 0.8847022713122112
0023 0.0422449 0.003988981246948242 0.8875752302606301
0024 0.04569094 0.0038280487060546875 0.9757007735016868
0025 0.040280495 0.003412961959838867 0.8791521205025896
0026 0.040343776 0.0032241344451904297 0.8891382050606871
0027 0.041487712 0.003286123275756836 0.9322345068852735
0028 0.04073081 0.0032303333282470703 0.9182681045067755
0029 0.04126718 0.004177093505859375 0.9481470229977802
0030 0.037650265 0.0031731128692626953 0.8747850422735908
0031 0.039802358 0.0034248828887939453 0.9316404405088908
0032 0.04038801 0.0040280818939208984 0.9546399588505345
0033 0.04044111 0.0035200119018554688 0.9613300762629271
0034 0.039351158 0.003147125244140625 0.9462487938284407
0035 0.04046199 0.003184080123901367 0.9757523994843713
0036 0.03891567 0.0028388500213623047 0.9468941561769415
0037 0.03905035 0.005041837692260742 0.9527976822386237
0038 0.038655337 0.007875919342041016 0.9445469057208045
0039 0.039112944 0.0044820308685302734 0.9690157825256693
0040 0.040094577 0.0057888031005859375 0.9829895640050047
0041 0.038635097 0.003484964370727539 0.9596844529877856
0042 0.0376267 0.003312826156616211 0.9512845145097408
0043 0.03933361 0.003202199935913086 0.9829278430629858
0044 0.038486097 0.003014087677001953 0.9727503929054843
0045 0.037466343 0.0029861927032470703 0.9540487569652043
0046 0.036803663 0.003365039825439453 0.9556342329756662
0047 0.038981702 0.0037310123443603516 0.985729862929269
0048 0.037916593 0.003679990768432617 0.9680608537113391
0049 0.0396908 0.003888845443725586 0.9963176665161719
0050 0.03745916 0.0033729076385498047 0.9692530615062551
0051 0.03755745 0.005339860916137695 0.9693485063906832
0052 0.03677555 0.007209062576293945 0.9592219117479626
0053 0.03529394 0.004534006118774414 0.9365204021258375
0054 0.037371315 0.006788969039916992 0.9832493894232531
0055 0.037894063 0.004296064376831055 0.9881014245690728
0056 0.035908855 0.0037660598754882812 0.956198043598651
0057 0.036457054 0.0037119388580322266 0.9660389754614884
0058 0.036186107 0.0034711360931396484 0.9653800631121061
0059 0.03857635 0.003453969955444336 0.9970385026748281
0060 0.036415927 0.003378152847290039 0.9730809211865028
0061 0.03671799 0.0032892227172851562 0.9808442756271112
0062 0.03669276 0.0032050609588623047 0.9804477946032402
0063 0.036948256 0.003793954849243164 0.9825703430923046
0064 0.03593179 0.004398822784423828 0.9759485268428187
0065 0.03700878 0.0037260055541992188 0.9833708811734804
0066 0.035280377 0.0033888816833496094 0.9670681786928201
0067 0.03571872 0.0028090476989746094 0.970598862886136
0068 0.037360445 0.003593921661376953 0.9955370518662783
0069 0.03624951 0.007442951202392578 0.9836489031302917
0070 0.03596199 0.005008220672607422 0.9776061396702873
0071 0.035457633 0.0057239532470703125 0.9783280582571112
0072 0.035026416 0.005415916442871094 0.9673926580021794
0073 0.03507918 0.0037679672241210938 0.9709150646429552
0074 0.036313456 0.0036170482635498047 0.9889222915640489
0075 0.036137372 0.003309011459350586 0.9848749340995597
0076 0.03636305 0.003326892852783203 0.9858107700071739
0077 0.03429088 0.003582000732421875 0.9622116605070385
0078 0.035030626 0.0030791759490966797 0.9761601271892777
0079 0.035564166 0.0033740997314453125 0.97821513448425
0080 0.035141878 0.003269195556640625 0.979710392629818
0081 0.035814516 0.0041408538818359375 0.9881412456730663
0082 0.034909427 0.004976987838745117 0.973634667665704
0083 0.034897618 0.0033750534057617188 0.9748375753895273
0084 0.034299802 0.0028841495513916016 0.9696932925795078
0085 0.03552524 0.0026776790618896484 0.9858430664721363
0086 0.03519621 0.005023956298828125 0.9828829690660691
0087 0.0349173 0.00770115852355957 0.980324685562037
0088 0.035314865 0.004848957061767578 0.9847659127560086
0089 0.03494843 0.006374835968017578 0.9802218719450512
0090 0.035306536 0.004216909408569336 0.9878541318293174
0091 0.034767136 0.0035369396209716797 0.9796912377443814
0092 0.034485817 0.0036249160766601562 0.9779316812662875
0093 0.03516213 0.003466367721557617 0.9869345655577536
0094 0.03438375 0.0034558773040771484 0.9784306564221754
0095 0.034817427 0.003103971481323242 0.982954049048512
0096 0.034496687 0.003120899200439453 0.9796974847709896
0097 0.0353109 0.0030510425567626953 0.9879502730329002
0098 0.03386599 0.0036101341247558594 0.9732267070690996
0099 0.03526679 0.0038900375366210938 0.9869781470591624
0100 0.033978205 0.00621795654296875 0.9743383499832623
0101 0.033348337 0.007804155349731445 0.9669728747464645
0102 0.035031654 0.00639796257019043 0.9892165576963321
0103 0.03255663 0.00412297248840332 0.9621096424690458
0104 0.03474307 0.0038390159606933594 0.9845479541005504
0105 0.034244966 0.004332780838012695 0.9802758101955171
0106 0.034403495 0.0035910606384277344 0.9860660350739759
0107 0.034172185 0.003568887710571289 0.9775796460054925
0108 0.034024626 0.0036122798919677734 0.9787331192169269
0109 0.032154556 0.003314971923828125 0.9545357331112114
0110 0.033421945 0.0034079551696777344 0.9696010050113053
0111 0.034287408 0.0035200119018554688 0.9810113346585473
0112 0.032939106 0.003840923309326172 0.964909010684255
0113 0.033398848 0.003468036651611328 0.9701966621062921
0114 0.033483773 0.0029058456420898438 0.9729318559194874
0115 0.032427646 0.002933025360107422 0.9606506228322548
0116 0.033373922 0.004595041275024414 0.9700752805814574
0117 0.032972604 0.008637189865112305 0.9659956418869788
0118 0.03182938 0.004992008209228516 0.9486066169804296
0119 0.03242305 0.005537986755371094 0.9575893280874477
0120 0.0325294 0.0038340091705322266 0.9605469701604914
0121 0.03164988 0.004287004470825195 0.9447111452704755
0122 0.032354124 0.00410008430480957 0.955631904676536
0123 0.03246685 0.0034852027893066406 0.9573944432227837
0124 0.03219133 0.003596782684326172 0.9525262150760989
0125 0.032290615 0.0036389827728271484 0.9535640734189876
0126 0.031155152 0.0036170482635498047 0.9372264029137941
0127 0.031879038 0.0033600330352783203 0.9468135371240123
0128 0.031601585 0.003863811492919922 0.9419511025097975
0129 0.031076625 0.0038590431213378906 0.9304591484855085
